e_number,ins,nombre,frecuencia_snapshot,categoria_gsfa,categoria_nombre,limite_valor,limite_unidad,autorizado,referencia_texto,referencia_url,cita_literal,nota,estado,verificado_por,fecha_verificacion
E330,330,Ácido cítrico,7124,,,,,,,,,,PENDIENTE,,
E300,300,Ácido ascórbico,3079,,,,,,,,,,PENDIENTE,,
E322,322,Lecitina,3065,,,,,,,,,,PENDIENTE,,
E415,415,Goma xantana,2435,,,,,,,,,,PENDIENTE,,
E440,440,Pectina,2309,,,,,,,,,,PENDIENTE,,
E412,412,Goma guar,1344,,,,,,,,,,PENDIENTE,,
E202,202,Sorbato de potasio,1159,,,,,,,,,,PENDIENTE,,
E960,960,Glucósidos de esteviol,1113,,,,,,,,,,PENDIENTE,,
E296,296,Ácido málico,1073,,,,,,,,,,PENDIENTE,,
E331,331,Citrato de sodio,1044,,,,,,,,,,PENDIENTE,,
E306,306,Tocoferoles,992,,,,,,,,,,PENDIENTE,,
E955,955,Sucralosa,980,,,,,,,,,,PENDIENTE,,
E270,270,Ácido láctico,938,,,,,,,,,,PENDIENTE,,
E500,500,Bicarbonato de sodio,832,,,,,,,,,,PENDIENTE,,
E170,170,Carbonato de calcio,773,,,,,,,,,,PENDIENTE,,
E160b,160b,Achiote (annatto),679,,,,,,,,,,PENDIENTE,,
E211,211,Benzoato de sodio,632,,,,,,,,,,PENDIENTE,,
E410,410,Goma garrofín,600,,,,,,,,,,PENDIENTE,,
E407,407,Carragenina,553,,,,,,,,,,PENDIENTE,,
E466,466,Carboximetilcelulosa,423,,,,,,,,,,PENDIENTE,,
E950,950,Acesulfamo K,354,,,,,,,,,,PENDIENTE,,
E150,150,Caramelo,324,,,,,,,,,,PENDIENTE,,
E160a,160a,Betacaroteno,281,,,,,,,,,,PENDIENTE,,
E508,508,Cloruro de potasio,274,,,,,,,,,,PENDIENTE,,
E220,220,Sulfitos,245,,,,,,,,,,PENDIENTE,,
E418,418,Goma gellan,238,,,,,,,,,,PENDIENTE,,
E282,282,Propionato de calcio,215,,,,,,,,,,PENDIENTE,,
E339,339,Fosfatos de sodio,205,,,,,,,,,,PENDIENTE,,
E220,220,Dióxido de azufre,193,,,,,,,,,,PENDIENTE,,
E471,471,Mono y diglicéridos,181,,,,,,,,,,PENDIENTE,,
E171,171,Dióxido de titanio,161,,,,,,,,,,PENDIENTE,,
E951,951,Aspartamo,102,,,,,,,,,,PENDIENTE,,
E200,200,Ácido sórbico,0,04.1.2.8,Preparaciones de fruta,1000,mg/kg,SI,"Codex GSFA (CXS 192-1995), grupo SORBATES, categoría 04.1.2.8",https://www.fao.org/gsfaonline/groups/details.html?id=10,1 000 mg/kg — categoría 04.1.2.8 (preparaciones de fruta),,SECUNDARIA,acido1.pptx,2026-08-14
E385,385,EDTA cálcico disódico,0,04.2.2.4,Vegetales enlatados o embotellados,365,mg/kg,SI_CONDICIONADO,"Codex GSFA (CXS 192-1995), categoría 04.2.2.4",https://www.fao.org/gsfaonline/additives/search.html,365 mg/kg — categoría 04.2.2.4 (vegetales enlatados/embotellados),Cobertura por categoría general de vegetales enlatados; debe verificarse que el producto quede comprendido en ella.,SECUNDARIA,acido2.pptx,2026-08-14
E386,386,EDTA disódico,185,,,,,,,,,,PENDIENTE,,
